,Positive Cases
2014-01-01,38214
2014-02-01,25279
2014-03-01,27262
2014-04-01,14166
2014-05-01,12685
2014-06-01,19220
2014-07-01,14056
2014-08-01,11419
2014-09-01,9751
2014-11-01,12043
2014-12-01,25477
2015-01-01,23828
2015-02-01,14480
2015-03-01,19199
2015-04-01,15063
2015-05-01,13625
2015-06-01,33927
2015-07-01,20622
2015-08-01,12457
2015-09-01,9938
2015-10-01,9433
2015-11-01,10730
2015-12-01,15404
2016-01-01,23333
2016-02-01,31602
2016-03-01,76498
2016-04-01,47530
2016-05-01,17901
2016-06-01,10011
2016-07-01,7479
2016-08-01,7859
2016-09-01,11212
2016-10-01,13165
2016-11-01,20800
2016-12-01,38313
2017-01-01,30109
2017-02-01,22998
2017-03-01,30519
2017-04-01,23260
2017-05-01,19085
2017-06-01,22313
2017-07-01,57694
2017-08-01,41625
2017-09-01,27467
2017-10-01,16049
2017-11-01,27731
2017-12-01,121800
2018-01-01,273949
2018-02-01,139738
2018-03-01,74086
2018-04-01,28592
2018-05-01,22980
2018-06-01,16635
2018-07-01,14544
2018-08-01,12325
2018-09-01,13188
2018-10-01,14852
2018-11-01,26960
2018-12-01,130442
2019-01-01,608511
2019-02-01,307892
2019-03-01,358757
2019-04-01,299939
2019-05-01,197729
2019-06-01,141202
2019-07-01,88911
2019-08-01,51676
2019-09-01,46048
2019-10-01,50665
2019-11-01,156205
2019-12-01,1199771
2020-01-01,986543
2020-02-01,59154
2020-03-01,21696
2020-04-01,15396
2020-05-01,16974
2020-06-01,15640
2020-07-01,13406
2020-08-01,12833
2020-09-01,18432
2020-10-01,20401
2020-11-01,22783
2020-12-01,23546
2021-01-01,20232
2021-02-01,10894
2021-03-01,17110
2021-04-01,31535
2021-05-01,41516
2021-06-01,38772
2021-07-01,24604
2021-08-01,21375
2021-09-01,35535
2021-10-01,53346
2021-11-01,110691
2021-12-01,249046
2022-01-01,230714
2022-02-01,98696
2022-03-01,133184
2022-04-01,37567
2022-05-01,78687
2022-06-01,747038
2022-07-01,648465
2022-08-01,183345
